Date,QQQ,VOO,HOOD,SOFI,BTC,ETH
2022-09-30,262.5411071777344,315.31890869140625,10.100000381469727,4.880000114440918,,
2022-10-03,268.70037841796875,323.6557312011719,10.100000381469727,5.130000114440918,,
2022-10-04,277.1485595703125,333.481201171875,10.819999694824219,5.400000095367432,,
2022-10-05,277.0011901855469,332.9049072265625,10.760000228881836,5.28000020980835,,
2022-10-06,274.8204040527344,329.3992614746094,11.170000076293945,5.289999961853027,,
2022-10-07,264.3486022949219,320.1500244140625,10.800000190734863,5.010000228881836,,
2022-10-10,261.7060852050781,317.758544921875,10.520000457763672,4.96999979019165,,
2022-10-11,258.1107177734375,315.66473388671875,10.4399995803833,5.0,,
2022-10-12,258.0223388671875,314.6850280761719,10.65999984741211,5.079999923706055,,
2022-10-13,264.07354736328125,322.9258117675781,10.630000114440918,5.090000152587891,,
2022-10-14,256.1361999511719,315.65509033203125,9.890000343322754,4.809999942779541,,
2022-10-17,264.59417724609375,323.6749267578125,10.210000038146973,5.070000171661377,,
2022-10-18,266.68658447265625,327.48797607421875,10.4399995803833,5.25,,
2022-10-19,265.71405029296875,325.2213134765625,10.109999656677246,4.989999771118164,,
2022-10-20,264.3584289550781,322.55120849609375,9.829999923706055,5.010000228881836,,
2022-10-21,270.5569763183594,330.3020935058594,10.140000343322754,5.150000095367432,,
2022-10-24,273.5335388183594,334.326416015625,10.210000038146973,5.170000076293945,,
2022-10-25,279.1917724609375,339.76263427734375,10.829999923706055,5.659999847412109,,
2022-10-26,273.0226745605469,337.2270202636719,11.079999923706055,5.539999961853027,,
2022-10-27,268.0520935058594,335.4213562011719,11.15999984741211,5.349999904632568,,
2022-10-28,276.2546081542969,343.2491149902344,11.5,5.449999809265137,,
2022-10-31,273.0423278808594,340.91522216796875,11.680000305175781,5.440000057220459,,
2022-11-01,270.2524108886719,339.5417785644531,11.920000076293945,5.730000019073486,,
2022-11-02,260.9889831542969,330.8783874511719,11.399999618530273,5.119999885559082,,
2022-11-03,255.89065551757812,327.3534851074219,12.329999923706055,5.360000133514404,,
2022-11-04,260.0066223144531,332.14617919921875,12.279999732971191,5.179999828338623,,
2022-11-07,262.8652648925781,335.3349609375,12.029999732971191,5.179999828338623,,
2022-11-08,264.7808532714844,337.1598205566406,9.739999771118164,5.099999904632568,,
2022-11-09,258.67071533203125,330.27325439453125,8.399999618530273,4.980000019073486,,
2022-11-10,277.75762939453125,348.34918212890625,9.270000457763672,5.340000152587891,,
2022-11-11,282.8755798339844,351.68194580078125,10.470000267028809,5.949999809265137,,
2022-11-14,280.400146484375,348.8581848144531,9.5600004196167,5.860000133514404,,
2022-11-15,284.2803955078125,351.7395324707031,10.149999618530273,5.849999904632568,,
2022-11-16,280.400146484375,349.0694885253906,9.319999694824219,5.53000020980835,,
2022-11-17,279.7812805175781,348.0610046386719,9.470000267028809,5.380000114440918,,
2022-11-18,279.7910461425781,349.59771728515625,9.1899995803833,5.179999828338623,,
2022-11-21,276.912841796875,348.36834716796875,8.850000381469727,4.869999885559082,,
2022-11-22,280.9010925292969,353.0073547363281,9.09000015258789,4.639999866485596,,
2022-11-23,283.72039794921875,355.2164611816406,9.460000038146973,4.659999847412109,,
2022-11-25,281.85400390625,355.1780700683594,9.390000343322754,4.599999904632568,,
2022-11-28,277.71832275390625,349.5593566894531,9.1899995803833,4.449999809265137,,
2022-11-29,275.6160583496094,348.9446105957031,9.180000305175781,4.559999942779541,,
2022-11-30,288.18023681640625,359.6825256347656,9.59000015258789,4.829999923706055,,
2022-12-01,288.5339050292969,359.7306213378906,9.869999885559082,4.739999771118164,,
2022-12-02,287.384521484375,359.2119445800781,9.989999771118164,4.699999809265137,,
2022-12-05,282.561279296875,352.8153076171875,9.670000076293945,4.53000020980835,,
2022-12-06,276.7065124511719,347.7152404785156,9.390000343322754,4.320000171661377,,
2022-12-07,275.5767822265625,347.04290771484375,9.260000228881836,4.300000190734863,,
2022-12-08,278.8382263183594,349.7801818847656,9.520000457763672,4.400000095367432,,
2022-12-09,277.06011962890625,347.2254333496094,9.3100004196167,4.340000152587891,,
2022-12-12,280.5376281738281,352.1813659667969,9.579999923706055,4.449999809265137,,
2022-12-13,283.55340576171875,354.7843017578125,9.350000381469727,4.429999828338623,,
2022-12-14,281.4512023925781,352.64239501953125,9.09000015258789,4.699999809265137,,
2022-12-15,272.0010986328125,343.9694519042969,8.670000076293945,4.630000114440918,,
2022-12-16,269.40771484375,339.8682861328125,8.609999656677246,4.639999866485596,,
2022-12-19,265.6214904785156,336.93890380859375,8.199999809265137,4.429999828338623,,
2022-12-20,265.4147644042969,337.4523010253906,8.100000381469727,4.570000171661377,,
2022-12-21,269.2649230957031,342.49957275390625,8.170000076293945,4.639999866485596,,
2022-12-22,262.67730712890625,337.68389892578125,7.989999771118164,4.579999923706055,,
2022-12-23,263.2680969238281,339.575439453125,7.949999809265137,4.610000133514404,,
2022-12-27,259.5459289550781,338.224365234375,7.699999809265137,4.389999866485596,,
2022-12-28,256.11920166015625,334.0745849609375,7.699999809265137,4.369999885559082,,
